Date,Time,Sample number,Location,Type,Treatment,Size,Species,Plant type,Height,Width_farthest,Width_perpendicular,Branch_length,Branch_diameter,Basal_circ,Stem_diameter,Stem_height,Stem_density,Branches__per_stem,Leaves_per_branch,Total_leaves,Leaf_lmax,Leaf_lmin,Leaf_lavg,Leaf_wmax,Leaf_wmin,Leaf_wavg,Leaf_tmax,Leaf_tmin,Leaf_tavg,Biomass,Measurement_location,Notes,leaf: branch (total; biomass),leaf: branch (single branch; biomass)
1/29/2019,,83,SME,natural,vegetated,small,Baccharis pilularis ,shrub,30,20,19,20.3,0.204,8,0.83,n/a,n/a,14,12.2,n/a,10,7.5,8.8,12,8,9,0.07,0.11,0.09,13.95,lab,,7.34:6.61,0.60:0.55
1/29/2019,,84,SME,natural,vegetated,medium,Baccharis pilularis ,shrub,54,45,44,40.9,0.386,13.5,2.76,4,n/a,16,25.2,n/a,20,9.5,14.5,55,11,25.8,0.05,0.1,0.068,86.63,lab,,48.7:37.93,2.70:1.23
1/29/2019,,85,SME,natural,vegetated,small,Baccharis pilularis ,shrub,49,35,20,29.3,0.29,n/a,1.17,n/a,n/a,10,20.6,n/a,14,10,11.9,22,14,17.8,0.08,0.06,0.07,28.76,lab,,14.17:14.59,0.77:0.57
1/29/2019,,86,SME,natural,vegetated,medium,Baccharis pilularis ,shrub,48,74,71,53.9,0.44,30.5,1.3,n/a,n/a,48,20.2,n/a,19,11,14,16,11,13.6,0.1,0.06,0.082,166.61,field/lab,,88.94:77.67,1.02:0.37
2/11/2019,1:40 PM,87,SME,natural,vegetated,large,Baccharis pilularis ,shrub,52,82,68,45.2,0.466,72.5,n/a,n/a,n/a,40,26.2,n/a,16.5,11.7,14.04,47,30,39.6,0.07,0.1,0.08,385.97,field,,162.46:223.51,2.49:3.52
2/11/2019,2:39 PM,89,SME,natural,vegetated,large,Baccharis pilularis ,shrub,71,72,69,50.6,0.691,31,n/a,n/a,n/a,41,28.6,n/a,14.5,9.5,11.6,24,13,19.6,0.07,0.05,0.056,102.65,field,,53.79:47.86,1.60:1.24
2/11/2019,2:11 PM,88,SME,natural,vegetated,large,Artemisia californica,shrub,64,84,64,43.8,0.325,48,n/a,n/a,n/a,85,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,268.56,field,,121.07:147.49,1.12:0.38
2/19/2019,2:40 PM,90,SME,biofilter,vegetated,large,Chondropetalum tectorum ,shrub,180,210,132,167.9,0.482,146,n/a,n/a,120,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2350.9,field,,,
2/25/2019,1:17 PM,91,ACTRI,biofilter,vegetated,large,Salix spp.,tree,239,n/a,n/a,103.5,0.483,n/a,1.63,n/a,1,6,29.83,n/a,13.5,6.5,9.3,1.1,0.4,0.89,0.06,0.02,0.046,154.68,field/lab,"branch: 114.74, leaves: 9.94",,
2/25/2019,1:55 PM,92,ACTRI,biofilter,vegetated,large,Salix spp.,tree,248,n/a,n/a,61.77,0.368,n/a,1.85,n/a,1,18,28.6,n/a,12,5,9.41,1.5,0.3,0.9,0.06,0.03,0.042,135.22,field/lab,"branch: 127.51, leaves: 7.71",,
2/28/2019,1:42 PM,93,Sanford,biofilter,vegetated,large,Solidago spp. ,forb,11.5,12.5,10,n/a,n/a,n/a,0.08,0.4,n/a,n/a,n/a,9,11,4,7.59,3,0.9,2.13,0.05,0.03,0.032,0.47,,,,
,1:46 PM,94,Sanford,biofilter,vegetated,large,Solidago spp. ,forb,9,11,7,n/a,n/a,n/a,0.12,4.5,n/a,n/a,n/a,9,8,3,5.64,2.3,0.7,1.57,0.03,0.02,0.027,0.25,,,,
,1:50 PM,95,Sanford,biofilter,vegetated,medium,Solidago spp. ,forb,6.5,8,5,n/a,n/a,n/a,0.07,1.5,n/a,n/a,n/a,10,6,1.4,4.18,1.5,0.2,1.08,0.02,0.01,0.019,0.14,,,,
,1:51 PM,96,Sanford,biofilter,vegetated,medium,Solidago spp. ,forb,8.5,8.5,4.5,n/a,n/a,n/a,0.09,3,n/a,n/a,n/a,8,6,0.9,3.64,1.2,0.2,0.75,0.03,0.01,0.019,0.07,,,,
,1:53 PM,97,Sanford,biofilter,vegetated,small,Solidago spp. ,forb,4.5,4,3.5,n/a,n/a,n/a,0.09,0.8,n/a,n/a,n/a,5,4.2,3,3.22,1.4,0.7,1.04,0.03,0.02,0.024,0.04,,,,
,,98,Sanford,biofilter,vegetated,small,Solidago spp. ,forb,5.5,4.5,2,n/a,n/a,n/a,0.09,2.3,n/a,n/a,n/a,5,5.2,2.7,3.9,1.9,1.1,1.56,0.04,0.02,0.03,0.09,,,,
3/4/2019,2:07 PM,100,SIO,biofilter,vegetated,small,unplanted weed,forb,5,5,4.5,n/a,n/a,n/a,0.13,n/a,n/a,n/a,n/a,17,4.5,1.8,3.1,0.7,0.25,0.53,0.03,0.01,0.022,0.08,,,,
,,101,SIO,biofilter,vegetated,large,unplanted weed,forb,5,12.5,11,n/a,n/a,n/a,1.1,n/a,n/a,n/a,n/a,95,4.5,1.7,3.2,1,0.4,0.71,0.04,0.02,0.031,0.21,,,,
,,102,SIO,biofilter,vegetated,medium,unplanted weed,forb,2.5,9,5.5,n/a,n/a,n/a,0.08,n/a,n/a,n/a,n/a,54,3.5,1.5,2.38,0.9,0.4,0.58,0.03,0.02,0.027,0.51,,,,
,,103,SIO,biofilter,vegetated,large,unplanted weed,forb,5,11,10.5,n/a,n/a,n/a,0.19,n/a,n/a,n/a,n/a,99,3.8,2,2.71,0.9,0.5,0.7,0.03,0.02,0.023,0.39,,,,
,,104,SIO,biofilter,vegetated,medium,unplanted weed,forb,5,7.5,7.5,n/a,n/a,n/a,0.12,n/a,n/a,n/a,n/a,33,4,2.2,3,1.5,0.3,0.76,0.04,0.02,0.024,0.18,,,,
,,105,SIO,biofilter,vegetated,small,unplanted weed,forb,3,6,6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,44,3,1.4,2.18,0.9,0.3,0.58,0.03,0.01,0.024,0.13,,,,
3/14/2019,1:37 PM,110,SIO,natural,,small,Rhus integrifolia ,shrub,53,27,38,27.5,0.445,n/a,1.07,16,1,6,n/a,104,5.5,2.3,3.89,3.7,1.6,2.74,0.06,0.05,0.054,49.58,,"wood: 24.67, leaves: 24.91",,
,1:45 PM,111,SIO,natural,,medium,Rhus integrifolia ,shrub,80,78,68,40,0.891,n/a,2.71,12,1,50,n/a,687,6.4,2.4,4.79,4.3,1.6,3.17,0.1,0.05,0.078,556.47,,"wood: 383.07, leaves: 173.40",,
,2:03 PM,112,SIO,natural,,small,Rhus integrifolia ,shrub,55,44,29,21.15,0.397,n/a,1.28,6.5,1,11,n/a,94,5.9,3.2,4.73,3.8,2.2,3.14,0.07,0.05,0.057,55.2,,"wood: 34.32, leaves: 20.88",,
,2:03 PM,113,SIO,natural,,small,Rhus integrifolia ,shrub,37,36,28,17,0.371,n/a,1.97,3,1,9,n/a,56,5.5,2.2,3.99,3.7,1.5,2.31,0.07,0.03,0.056,36.56,,"wood: 22.43, leaves: 14.13",,
,2:23 PM,114,SIO,natural,,large,Rhus integrifolia ,shrub,144,126,104,69.15,1.146,n/a,3.63,8,1,61,n/a,892,5.3,2.7,4.1,4,2,2.98,0.08,0.05,0.071,1172.31,,"wood: 952.83, leaves: 219.48",,
4/11/2019,2:00 PM,120,Sanford,garden,vegetated,small,Festuca Mairei,forb,46.8,100.6,94,47.09,0.044,137.8,n/a,n/a,2150,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,475.82,,root: 388.35,,
,2:02 PM,121,Sanford,garden,vegetated,small,Festuca Mairei,forb,41.9,98.4,90.5,45.59,0.032,103.2,n/a,n/a,1350,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,235.33,,root: 84.50,,
,,122,Sanford,garden,vegetated,small,Festuca Mairei,forb,45.1,95.9,95.3,43.71,0.037,106,n/a,n/a,1200,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,270.69,,root: 234.22,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
